City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Kopanskaya,8,RU,100,46.28,38.48,-2.94,2.71
Muleba,32,TZ,92,-1.84,31.66,23.77,1.06
Petropavlovsk-Kamchatskiy,88,RU,88,53.05,158.65,0.0,8.0
Burnie,32,AU,97,-41.05,145.91,17.72,8.91
Manggar,32,ID,98,-2.88,108.27,25.44,2.86
Mae Hong Son,36,MM,89,19.3,97.96,15.44,0.56
Saraland,1,US,87,30.82,-88.07,16.7,3.1
Barrhead,1,CA,92,54.12,-114.4,-11.0,1.0
Hervey Bay,76,AU,83,-25.3,152.85,21.0,3.6
Manaus,40,BR,74,-3.13,-59.98,30.0,3.1
Alekseyevsk,56,RU,61,57.84,108.35,-19.74,1.86
Penzance,75,GB,87,50.12,-5.53,10.0,9.3
Jalalabad,1,AF,31,34.43,70.46,10.2,2.06
Kahului,40,US,84,20.89,-156.47,21.7,3.1
Okoneshnikovo,44,RU,75,54.84,75.08,-17.64,4.21
Lagoa Formosa,64,BR,79,-18.77,-46.41,28.17,0.76
Sadalgi,0,IN,67,16.57,74.55,17.89,1.86
Namatanai,56,PG,100,-3.66,152.44,28.19,6.41
Ilulissat,20,GL,47,69.22,-51.1,-23.0,3.1
Mwinilunga,80,ZM,97,-11.73,24.43,18.02,1.11
Mollendo,0,PE,50,-17.03,-72.02,25.09,1.96
Hibbing,90,US,92,47.43,-92.94,-6.0,2.6
Tirumullaivasal,24,IN,89,11.24,79.84,24.39,5.01
Lahij,20,YE,94,13.06,44.88,19.57,1.56
Shagamu,20,NG,70,6.84,3.65,32.0,4.1
Deloraine,36,CA,87,49.18,-100.5,-13.44,4.06
The Valley,40,AI,69,18.22,-63.06,27.0,5.7
Owando,36,CG,83,-0.49,15.91,25.52,0.76
Mitu,20,IR,57,36.2,46.09,-5.94,1.96
Nur,80,PL,88,52.67,22.32,-2.44,4.81
Lensk,36,RU,60,60.71,114.91,-21.99,2.41
Ambulu,80,ID,100,-8.35,113.61,25.79,1.31
Terrace,90,CA,100,54.52,-128.61,0.0,1.0
Nagato,75,JP,81,34.35,131.14,9.0,2.6
Guye,0,CN,68,39.73,118.44,-10.71,1.16
Fort-de-France,75,MQ,58,14.61,-61.07,29.0,6.2
Yuzhno-Sukhokumsk,44,RU,79,44.66,45.65,-3.41,1.61
Oranjemund,20,ZA,92,-28.55,16.43,18.54,1.51
Buraydah,0,SA,63,26.33,43.97,19.0,2.1
Enid,90,US,100,36.4,-97.88,2.0,7.2
Lindau,88,DE,94,48.78,13.3,0.77,7.86
Awjilah,48,LY,58,29.14,21.3,13.29,8.86
Honningsvag,88,NO,100,70.98,25.97,0.47,9.16
Sidney,90,US,92,47.72,-104.16,-9.0,5.1
Playa Vicente,20,MX,84,17.83,-95.81,25.34,2.01
Navoi,0,IT,64,46.17,11.83,5.0,1.5
Tursunzoda,0,UZ,79,38.51,68.23,0.0,2.0
Polunochnoye,88,RU,77,60.87,60.43,-12.81,3.71
Ilhabela,36,BR,100,-23.78,-45.36,26.32,3.66
Ambilobe,76,MG,97,-13.19,49.05,21.39,1.31
Nanae,32,JP,100,41.94,140.7,-11.06,1.21
Kyabe,0,TD,23,9.45,18.94,27.09,2.76
Tadine,92,NC,100,-21.55,167.88,24.69,7.86
Luanda,75,AO,74,-8.83,13.24,28.0,4.1
Khash,0,IR,54,28.22,61.21,-2.24,1.76
Pipri,0,IN,93,24.21,83.02,12.94,2.06
Ferrol,75,ES,71,43.48,-8.23,11.0,4.6
